[11:35:56 1/6/2026] User: 0522 0100 7777 | Action: CREATE_RESIDENCE_REQUEST | Info: Tao ho so xac nhan cu tru cho Nguyễn Văn A
[12:29:21 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: 72b4d643-3bba-46a4-9cf4-b02f1575cd9b
[12:29:21 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=aa75bcb4-52d4-4b18-9e63-7b74037b2215
[12:29:21 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: aa75bcb4-52d4-4b18-9e63-7b74037b2215
[12:29:21 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=fb6e408d-abc5-4a5c-b9ba-1e412bc1651e
[12:29:22 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: fb6e408d-abc5-4a5c-b9ba-1e412bc1651e
[12:29:22 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=b2786aed-b9ee-449b-a2b1-a5730fc8e3ed
[12:29:22 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: b2786aed-b9ee-449b-a2b1-a5730fc8e3ed
[12:29:22 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=499b9e1e-6873-4118-9c5c-3c5a8a2af18d
[12:29:22 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: 499b9e1e-6873-4118-9c5c-3c5a8a2af18d
[12:29:22 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=919d04dd-1ae4-4320-b0ce-d7f15e235969
[12:29:22 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: 919d04dd-1ae4-4320-b0ce-d7f15e235969
[12:29:22 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=31f6bbdb-126f-4d9d-b956-81d28eaffaca
[12:29:22 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: 31f6bbdb-126f-4d9d-b956-81d28eaffaca
[12:29:22 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=17ff6ea9-05b3-4c5f-b5e1-f718fe6072b8
[12:29:22 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: 17ff6ea9-05b3-4c5f-b5e1-f718fe6072b8
[12:29:22 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=3782b34b-e975-4103-9e7b-b38455210e5c
[12:29:22 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: 3782b34b-e975-4103-9e7b-b38455210e5c
[12:29:22 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=12e9d89d-7b53-4584-a4bf-357c812236aa
[12:29:22 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: 12e9d89d-7b53-4584-a4bf-357c812236aa
[12:31:20 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=93a912f7-3aa6-4faa-8f58-88e90de494c8
[12:31:20 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: 93a912f7-3aa6-4faa-8f58-88e90de494c8
[12:31:20 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=76fe85cf-bff4-460e-a205-e6132614d5c6
[12:31:20 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: 76fe85cf-bff4-460e-a205-e6132614d5c6
[12:31:20 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=579757ae-94b0-4950-94dc-727c4c32c1c9
[12:31:20 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: 579757ae-94b0-4950-94dc-727c4c32c1c9
[12:31:20 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=d3aa0b03-3093-46f6-9c08-f9aa778e45c3
[12:31:20 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: d3aa0b03-3093-46f6-9c08-f9aa778e45c3
[12:31:20 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=2586dbea-44de-4053-a621-a84fec5b418f
[12:31:20 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: 2586dbea-44de-4053-a621-a84fec5b418f
[12:31:20 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=19bf366c-8db4-440a-91c9-ee669f600dbf
[12:31:21 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: 19bf366c-8db4-440a-91c9-ee669f600dbf
[12:31:21 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=c4ecaf67-e5a4-4336-be38-c9f301163c9c
[12:31:21 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: c4ecaf67-e5a4-4336-be38-c9f301163c9c
[12:31:21 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=aa14488a-6ec4-4a26-a3d6-b17b19d8b410
[12:31:21 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: aa14488a-6ec4-4a26-a3d6-b17b19d8b410
[12:31:21 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=88dd6349-e394-4688-9088-084b2c32c083
[12:31:21 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: 88dd6349-e394-4688-9088-084b2c32c083
[12:31:21 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=824664e0-7708-4d6f-9b50-ee25bae68b87
[12:31:21 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: 824664e0-7708-4d6f-9b50-ee25bae68b87
[12:31:21 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=beab3fef-529f-4665-8370-a5d2309c710a
[12:31:21 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: beab3fef-529f-4665-8370-a5d2309c710a
[12:31:21 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=e70279e8-a897-42fd-899b-2fdb579d5530
[12:31:21 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: e70279e8-a897-42fd-899b-2fdb579d5530
[12:31:21 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=754dc45d-a88e-4b20-8fe6-eb865cb91747
[12:31:21 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: 754dc45d-a88e-4b20-8fe6-eb865cb91747
[12:31:21 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=1676bd02-952e-4536-9ed8-36004e5e6226
[12:31:21 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: 1676bd02-952e-4536-9ed8-36004e5e6226
[12:31:21 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=8fbda402-e6ce-487b-b4eb-70e82f09a327
[12:31:21 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: 8fbda402-e6ce-487b-b4eb-70e82f09a327
[12:31:21 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=0f5259fe-3a8c-48f5-b398-2abaafa89d25
[12:31:21 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: 0f5259fe-3a8c-48f5-b398-2abaafa89d25
[12:31:21 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=203d0c22-758f-4ad4-8906-3ee0cbc6ae61
[12:31:21 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: 203d0c22-758f-4ad4-8906-3ee0cbc6ae61
[12:31:22 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=dd4727e4-d538-479a-b504-eec33d5181f7
[12:31:22 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: dd4727e4-d538-479a-b504-eec33d5181f7
[12:31:22 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=aefce362-3cc0-465f-ad98-f4da65d52061
[12:31:22 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: aefce362-3cc0-465f-ad98-f4da65d52061
[12:31:22 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=98b96162-f72e-4e2e-b2ce-b4ce42d8de5a
[12:31:22 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: 98b96162-f72e-4e2e-b2ce-b4ce42d8de5a
[12:31:22 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=687f39e8-a449-4ef9-ae55-fce49a45fcb2
[12:31:22 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: 687f39e8-a449-4ef9-ae55-fce49a45fcb2
[12:31:22 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=102b7a64-5b89-4c4c-8418-013fcce63bb1
[12:31:22 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: 102b7a64-5b89-4c4c-8418-013fcce63bb1
[12:31:22 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=66d57f1f-48a0-4673-a203-829eea9ebc2d
[12:31:22 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: 66d57f1f-48a0-4673-a203-829eea9ebc2d
[12:31:22 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=76f94b4b-0191-486b-ac70-2f3fa1ea2c21
[12:31:22 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: 76f94b4b-0191-486b-ac70-2f3fa1ea2c21
[12:31:22 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=05092077-601f-4896-bedd-b282ea1d9fd5
[12:31:22 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: 05092077-601f-4896-bedd-b282ea1d9fd5
[12:31:22 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=c0e9e3c4-164e-4eef-8b20-f4274f40bb58
[12:31:22 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: c0e9e3c4-164e-4eef-8b20-f4274f40bb58
[12:31:22 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=b61c36f7-55b2-41e5-849f-02a81d21e621
[12:31:22 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: b61c36f7-55b2-41e5-849f-02a81d21e621
[12:31:22 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=174ef176-2bc7-4e19-92e5-0ae036a95395
[12:31:23 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: 174ef176-2bc7-4e19-92e5-0ae036a95395
[12:31:23 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=1b7e2787-9378-4d03-a9c9-e4286adcdc38
[12:31:23 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: 1b7e2787-9378-4d03-a9c9-e4286adcdc38
[12:31:23 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=91616d8b-4923-4f35-85bc-2747cb8703f1
[12:31:23 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: 91616d8b-4923-4f35-85bc-2747cb8703f1
[12:31:23 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=20aaf73f-fe96-4c63-9b97-404711751c76
[12:31:23 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: 20aaf73f-fe96-4c63-9b97-404711751c76
[12:31:23 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=b5293109-7e6a-4b5d-862d-7843739ba59e
[12:31:23 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: b5293109-7e6a-4b5d-862d-7843739ba59e
[12:31:23 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=13595227-1ce7-44bd-837c-c8291fa26aeb
[12:31:23 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: 13595227-1ce7-44bd-837c-c8291fa26aeb
[12:31:23 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=ed4024a3-753d-45dc-ba18-f1e33bf1bd4f
[12:31:23 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: ed4024a3-753d-45dc-ba18-f1e33bf1bd4f
[12:31:23 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=eb7d45a2-765e-4526-9712-f18f32dc4954
[12:31:23 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: eb7d45a2-765e-4526-9712-f18f32dc4954
[12:31:23 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=8de09f35-95ed-4146-b7dc-a44faa783661
[12:31:23 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: 8de09f35-95ed-4146-b7dc-a44faa783661
[12:31:23 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=a11ac27e-37b1-4a1c-a8cb-df4adbfbfbb3
[12:31:23 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: a11ac27e-37b1-4a1c-a8cb-df4adbfbfbb3
[12:31:23 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=172bdcba-61b1-44e6-9130-97b4d3fa4bdc
[12:31:23 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: 172bdcba-61b1-44e6-9130-97b4d3fa4bdc
[12:31:23 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=376d9bdf-c36e-4a1a-9f51-42c8bacd8d45
[12:31:23 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: 376d9bdf-c36e-4a1a-9f51-42c8bacd8d45
[12:31:23 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=2ca6b632-ac46-479e-b365-d25d45045295
[12:31:23 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: 2ca6b632-ac46-479e-b365-d25d45045295
[12:31:23 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=b110da3a-9a8e-4c97-b2f6-2bafb7b9bd4c
[12:31:24 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: b110da3a-9a8e-4c97-b2f6-2bafb7b9bd4c
[12:31:24 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=6b2d2276-f2b6-4cb5-801a-c599ab1afb0b
[12:31:24 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: 6b2d2276-f2b6-4cb5-801a-c599ab1afb0b
[12:31:24 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=c7341b57-029a-4072-a594-4ba928f904ab
[12:31:24 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: c7341b57-029a-4072-a594-4ba928f904ab
[12:31:24 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=16053281-5840-4295-94f3-49374b81ce00
[12:31:24 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: 16053281-5840-4295-94f3-49374b81ce00
[12:31:24 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=3746b58f-77cf-4277-94de-9087e6392a42
[12:31:24 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: 3746b58f-77cf-4277-94de-9087e6392a42
[12:31:24 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=54e2c44a-7d22-4c3f-af49-8e8b92f5593d
[12:31:24 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: 54e2c44a-7d22-4c3f-af49-8e8b92f5593d
[12:31:24 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=33aeb7c4-54f5-4bcd-86c4-f066f57a5368
[12:31:24 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: 33aeb7c4-54f5-4bcd-86c4-f066f57a5368
[12:31:24 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=83f256a6-64b7-4663-9f2c-1fd783603e06
[12:31:24 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: 83f256a6-64b7-4663-9f2c-1fd783603e06
[12:31:24 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=91a45e71-0471-426d-85cb-dea6ec206558
[12:31:24 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: 91a45e71-0471-426d-85cb-dea6ec206558
[12:31:24 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=d8f09e4c-c8f3-49c1-b2de-8493506ecffd
[12:31:24 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: d8f09e4c-c8f3-49c1-b2de-8493506ecffd
[12:34:55 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=d3a68aa5-a59a-4349-bf99-fb4660aa7f99
[12:34:55 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: d3a68aa5-a59a-4349-bf99-fb4660aa7f99
[12:34:55 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=da5fc2a2-ed27-4e01-a5c1-8c6f4fc14110
[12:34:55 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: da5fc2a2-ed27-4e01-a5c1-8c6f4fc14110
[12:34:55 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=049e4afc-d86c-4807-b98d-65fb71bb79c2
[12:34:55 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: 049e4afc-d86c-4807-b98d-65fb71bb79c2
[12:34:55 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=bad87313-2c14-4608-a368-82c426c26d53
[12:34:55 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: bad87313-2c14-4608-a368-82c426c26d53
[12:34:55 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=72382cc5-27f5-4662-b378-650af20c0940
[12:34:55 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: 72382cc5-27f5-4662-b378-650af20c0940
[12:34:55 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=1f720037-68b1-46ef-ba75-8f7904f7a3db
[12:34:56 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: 1f720037-68b1-46ef-ba75-8f7904f7a3db
[12:34:56 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=e27f9816-eace-429c-b790-949006613f98
[12:34:56 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: e27f9816-eace-429c-b790-949006613f98
[12:34:56 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=38771e8e-43a1-4c74-8e50-95d4b80c9a94
[12:34:56 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: 38771e8e-43a1-4c74-8e50-95d4b80c9a94
[12:34:56 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=d22cf4ca-3dab-4089-8b56-0a1c69595457
[12:34:56 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: d22cf4ca-3dab-4089-8b56-0a1c69595457
[12:34:56 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=be09c8e2-652a-413f-985b-7c2666ccce0b
[12:34:56 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: be09c8e2-652a-413f-985b-7c2666ccce0b
[12:34:56 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=ad98f3dc-7e83-44a0-8a86-09e12fea1815
[12:34:56 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: ad98f3dc-7e83-44a0-8a86-09e12fea1815
[12:34:56 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=9799c34b-720c-436a-8b9c-2d04a16659ec
[12:34:56 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: 9799c34b-720c-436a-8b9c-2d04a16659ec
[12:34:56 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=695d4a28-d64c-4f38-8336-177b7f60f0f3
[12:34:56 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: 695d4a28-d64c-4f38-8336-177b7f60f0f3
[12:34:56 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=9c630f1a-670d-4c44-868d-870ee056736f
[12:34:56 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: 9c630f1a-670d-4c44-868d-870ee056736f
[12:34:56 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=f89b208b-5ed6-43f9-b68e-f8630b5bf9c6
[12:34:56 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: f89b208b-5ed6-43f9-b68e-f8630b5bf9c6
[12:34:56 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=8b37db8f-29dc-4118-9113-efaf39384967
[12:34:56 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: 8b37db8f-29dc-4118-9113-efaf39384967
[12:34:56 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=db470f00-5469-41fa-89c4-f1cd217809e9
[12:34:56 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: db470f00-5469-41fa-89c4-f1cd217809e9
[12:34:56 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=d7726c61-37ff-4fe5-96d5-62a893f14907
[12:34:56 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: d7726c61-37ff-4fe5-96d5-62a893f14907
[12:34:56 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=8df65c77-8b0c-4adc-b0a6-5643cdb7d2b1
[12:34:57 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: 8df65c77-8b0c-4adc-b0a6-5643cdb7d2b1
[12:34:57 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=de2be3af-e6bf-4ef0-a3ec-66683c3dea5d
[12:34:57 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: de2be3af-e6bf-4ef0-a3ec-66683c3dea5d
[12:34:57 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=c6f2664b-6909-4f6d-ae1a-88ced388ce50
[12:34:57 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: c6f2664b-6909-4f6d-ae1a-88ced388ce50
[12:34:57 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=6c1bcb5e-1442-414c-afa4-592e7cfcc7f0
[12:34:57 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: 6c1bcb5e-1442-414c-afa4-592e7cfcc7f0
[12:34:57 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=fa90e111-3843-4d3a-9d89-ab1ce0208e6a
[12:34:57 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: fa90e111-3843-4d3a-9d89-ab1ce0208e6a
[12:34:57 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=7aec06f6-ac98-451b-b627-f609cffbb19e
[12:34:57 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: 7aec06f6-ac98-451b-b627-f609cffbb19e
[12:34:57 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=b9474755-d5bf-41cd-b6f7-02895ccaa573
[12:34:57 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: b9474755-d5bf-41cd-b6f7-02895ccaa573
[12:34:57 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=e22015f7-4bf5-4a8a-8b37-b2bbf37f5d71
[12:34:57 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: e22015f7-4bf5-4a8a-8b37-b2bbf37f5d71
[12:34:57 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=abf87da2-9cac-4d09-b275-c56b223a3c15
[12:34:57 2/6/2026] User: officer_01 | Action: REPLAY_ATTACK_BLOCKED | Info: Reused DPoP jti: abf87da2-9cac-4d09-b275-c56b223a3c15
[12:34:57 2/6/2026] User: officer_01 | Action: DPOP_ALLOW | Info: DPoP verified jti=3b961f15-fae7-4ae6-8a8f-d588c10b006f
